model,cut_label,horizon,regime,energy_score,crps,WIS,cov80,bd_rank,skill_clim,skill_pers
FlowMatching,rising,10,established,2.3354421097661,0.66309261604898,0.592821443905028,0.515789473684211,19.8038277511962,0.428374500334533,0.186770327756558
StochasticInterpolants,rising,10,established,2.7307713652842,0.776397547136876,0.693108079998287,0.471291866028708,18.7751196172249,0.311388600089284,0.0213915536570794
Diffusion,declining,15,established,3.46856449232391,0.759318573324902,0.69819875082671,0.624302134646962,13.7684729064039,0.188255313504091,0.156385834235938
FlowMatching,declining,15,established,1.98840497532654,0.411915406413479,0.374145607417546,0.651888341543514,11.5566502463054,0.508934838239199,0.49706042299485
StochasticInterpolants,declining,15,established,2.23166697099684,0.48187080781452,0.435024719953198,0.659770114942529,13.6748768472906,0.457092557060256,0.382452040550066
Diffusion,peak,15,established,2.72503121391346,0.557775872583184,0.508363691100096,0.650495049504951,20.5,0.494115971196405,0.287678327061288
FlowMatching,peak,15,established,1.95861097917711,0.41409787255347,0.37760986649501,0.693399339933993,19.3316831683168,0.600961568325257,0.640968931718954
StochasticInterpolants,peak,15,established,2.23892310515493,0.480597494802009,0.436511743769589,0.68019801980198,20.480198019802,0.548630454428721,0.489373242524977
Diffusion,rising,15,established,4.77010138580684,1.09577335091108,0.978311791207018,0.454226475279107,15.2344497607656,0.11651818627052,-0.140814438805312
FlowMatching,rising,15,established,3.03062624183465,0.684236352709886,0.611009155435756,0.568102073365231,19.0956937799043,0.418428642551081,0.272464540345658
StochasticInterpolants,rising,15,established,3.50093055428555,0.797728082215174,0.711744852558859,0.527272727272727,18.2631578947368,0.33054689313033,0.146048407437768
Diffusion,declining,5,minor,3.56185338675312,1.42954514877702,1.30008893192732,0.85,12.9,-0.280375877674015,-4.52582197436428
FlowMatching,declining,5,minor,2.35645589971517,0.946211977807977,0.852203710250745,0.85,10.5,0.158670756508992,-2.50286557432864
StochasticInterpolants,declining,5,minor,2.60988833415909,1.08775483643096,0.971136870425039,0.83,10.3,0.0578471925573844,-3.09280865545143
Diffusion,peak,5,minor,2.72885999532935,1.14673372752291,1.03398222933403,0.814285714285714,19.5,-0.174586112400284,-1.40750469698113
FlowMatching,peak,5,minor,2.33204207338061,0.962472211393556,0.870862227760105,0.785714285714286,13.2857142857143,-0.0463465883240871,-1.09901537033756
StochasticInterpolants,peak,5,minor,2.07917426424332,0.88465926372683,0.788951155568125,0.8,19.5,0.0826063680724722,-0.916682348453523
Diffusion,rising,5,minor,2.60727003834087,1.09176195400016,0.975086182196507,0.86,18.05,-0.582995704797767,-3.42722972328043
FlowMatching,rising,5,minor,2.21988176273343,0.906059398649133,0.828600736775454,0.79,16.65,-0.222085329302198,-2.77539537298541
StochasticInterpolants,rising,5,minor,2.00534229064741,0.834999154183689,0.743780710407366,0.86,20.65,-0.110411004229942,-2.30210477284376
Diffusion,declining,10,minor,5.21086842947844,1.46800842341552,1.32345559588499,0.910526315789474,10.2631578947368,-0.174304012498423,-4.31186681309045
FlowMatching,declining,10,minor,4.06503405866837,1.17356945580446,1.05166925630094,0.884210526315789,7.15789473684211,0.0610320479771402,-3.20273234699634
StochasticInterpolants,declining,10,minor,4.19588135318928,1.21632887122569,1.08124104331779,0.910526315789474,11.1578947368421,0.0545132841424418,-3.61828243329579
Diffusion,peak,10,minor,4.36467262319647,1.26569560607568,1.13975292794457,0.85,15.7857142857143,-0.116894991577114,-0.981919686746035
FlowMatching,peak,10,minor,3.94657694023634,1.16108183232747,1.04144170864944,0.85,8.07142857142857,-0.0225553219622203,-0.835479301971407
StochasticInterpolants,peak,10,minor,3.75500138335701,1.10296882502131,0.980174152720237,0.85,11.6428571428571,0.0149095502275374,-0.76385807356074
Diffusion,rising,10,minor,4.19678353721604,1.20946337935413,1.07614750600615,0.92,15.6,-0.167608672957425,-2.58135428058892
FlowMatching,rising,10,minor,3.80545740175533,1.10721680602083,0.995530949483834,0.88,12.8,-0.0137294978086734,-2.30894930415675
StochasticInterpolants,rising,10,minor,3.82087633269676,1.10419129419152,0.979611142764266,0.905,14.15,-0.020436198036731,-2.37579553072704
Diffusion,declining,15,minor,6.5623203342386,1.49935637912672,1.343501176159,0.962962962962963,9.33333333333333,-0.110182990218625,-4.1707307970376
FlowMatching,declining,15,minor,5.60916511971924,1.33161538706644,1.18869067939184,0.937037037037037,5.83333333333333,-0.0214206842563747,-3.5649116556181
StochasticInterpolants,declining,15,minor,5.91622036671451,1.39640831672627,1.23926471870466,0.959259259259259,9.16666666666667,-0.0662616166740794,-3.95734211517809
Diffusion,peak,15,minor,5.65712441685844,1.31873346581117,1.18634172084976,0.880952380952381,13.2857142857143,0.00374760249494546,-0.926879036422194
FlowMatching,peak,15,minor,5.39840592517896,1.28963149867224,1.15666615847416,0.852380952380952,4.78571428571429,-0.0701240329499276,-0.845579433776405
StochasticInterpolants,peak,15,minor,5.23594643905208,1.24250323817168,1.10314456128649,0.885714285714286,7.07142857142857,-0.0385903066528348,-0.834181320339799
Diffusion,rising,15,minor,5.69098889720245,1.33356456905298,1.18975562640797,0.943333333333333,15.5,-0.168764204113449,-2.7369767428571
FlowMatching,rising,15,minor,5.00513843924714,1.18527593061523,1.0590995951006,0.896666666666667,9.5,0.0500608987269712,-2.39547445102715
StochasticInterpolants,rising,15,minor,5.42293190178594,1.27667201220138,1.13127443059969,0.92,9.75,-0.0478682967306622,-2.71396786697969
